innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bengaluru,VR Iyer,19,7,3,1,271.43,c Shubman Gill b K Rabada,1
1,Royal Challengers Bengaluru,V Kohli,43,25,5,1,172.0,b JO Holder,2
1,Royal Challengers Bengaluru,D Padikkal,30,19,5,0,157.89,c JC Buttler b JO Holder,3
1,Royal Challengers Bengaluru,RM Patidar,93,33,5,9,281.82,not out,4
1,Royal Challengers Bengaluru,KH Pandya,43,28,5,2,153.57,c B Sai Sudharsan b K Rabada,5
1,Royal Challengers Bengaluru,TH David,4,5,0,0,80.0,b M Prasidh Krishna,6
1,Royal Challengers Bengaluru,JM Sharma,15,5,1,1,300.0,not out,7
2,Gujarat Titans,B Sai Sudharsan,14,9,3,0,155.56,hit wicket b JA Duffy,1
2,Gujarat Titans,Shubman Gill,2,7,0,0,28.57,b B Kumar,2
2,Gujarat Titans,JC Buttler,29,11,4,2,263.64,b JR Hazlewood,3
2,Gujarat Titans,N Sindhu,5,3,1,0,166.67,c & b Rasikh Salam,4
2,Gujarat Titans,Washington Sundar,8,8,1,0,100.0,c JR Hazlewood b JA Duffy,5
2,Gujarat Titans,JO Holder,0,3,0,0,0.0,c JR Hazlewood b Rasikh Salam,6
2,Gujarat Titans,R Tewatia,68,43,8,4,158.14,c RM Patidar b B Kumar,7
2,Gujarat Titans,Rashid Khan,8,9,0,1,88.89,c JM Sharma b JA Duffy,8
2,Gujarat Titans,K Rabada,9,5,2,0,180.0,c V Kohli b KH Pandya,9
2,Gujarat Titans,Mohammed Siraj,5,13,1,0,38.46,c TH David b KH Pandya,10
2,Gujarat Titans,M Prasidh Krishna,6,7,1,0,85.71,not out,11
