innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Gujarat Titans,JO Holder,4.0,0,39,2,9.75,5,0,0
1,Gujarat Titans,K Khejroliya,2.0,0,31,0,15.5,3,1,2
1,Gujarat Titans,K Rabada,4.0,0,54,2,13.5,8,0,0
1,Gujarat Titans,M Prasidh Krishna,4.0,0,53,1,13.25,3,2,0
1,Gujarat Titans,Mohammed Siraj,3.0,0,46,0,15.33,4,0,0
1,Gujarat Titans,Rashid Khan,3.0,0,29,0,9.67,3,0,0
2,Royal Challengers Bengaluru,B Kumar,4.0,0,28,2,7.0,14,1,0
2,Royal Challengers Bengaluru,JA Duffy,4.0,0,39,3,9.75,11,1,0
2,Royal Challengers Bengaluru,JR Hazlewood,4.0,0,39,1,9.75,13,0,0
2,Royal Challengers Bengaluru,KH Pandya,3.3,0,16,2,4.57,12,1,0
2,Royal Challengers Bengaluru,R Shepherd,1.0,0,15,0,15.0,2,0,0
2,Royal Challengers Bengaluru,Rasikh Salam,3.0,1,24,2,8.0,10,3,1
