innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bengaluru,1,VR Iyer,21,2.6
1,Royal Challengers Bengaluru,2,V Kohli,93,9.2
1,Royal Challengers Bengaluru,3,D Padikkal,94,9.4
1,Royal Challengers Bengaluru,4,KH Pandya,189,17.1
1,Royal Challengers Bengaluru,5,TH David,214,18.6
2,Gujarat Titans,1,B Sai Sudharsan,17,3.3
2,Gujarat Titans,2,Shubman Gill,27,4.1
2,Gujarat Titans,3,JC Buttler,51,5.5
2,Gujarat Titans,4,N Sindhu,51,6.1
2,Gujarat Titans,5,JO Holder,51,6.4
2,Gujarat Titans,6,Washington Sundar,65,9.2
2,Gujarat Titans,7,Rashid Khan,78,11.3
2,Gujarat Titans,8,K Rabada,88,12.2
2,Gujarat Titans,9,R Tewatia,156,19.1
2,Gujarat Titans,10,Mohammed Siraj,162,20.3
