innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,YBK Jaiswal,29,29,4,0,100.0,c Abhishek Sharma b Shivang Kumar,1
1,Rajasthan Royals,V Suryavanshi,97,29,5,12,334.48,c R Smaran b PP Hinge,2
1,Rajasthan Royals,Dhruv Jurel,50,21,5,3,238.1,c Nithish Kumar Reddy b PP Hinge,3
1,Rajasthan Royals,R Parag,26,12,2,2,216.67,c H Klaasen b PP Hinge,4
1,Rajasthan Royals,D Ferreira,12,9,1,0,133.33,"run out (Ishan Kishan, Shivang Kumar)",5
1,Rajasthan Royals,MD Shanaka,5,3,1,0,166.67,c Abhishek Sharma b E Malinga,6
1,Rajasthan Royals,RA Jadeja,12,9,1,0,133.33,not out,7
1,Rajasthan Royals,JC Archer,4,5,1,0,80.0,c Abhishek Sharma b Nithish Kumar Reddy,8
1,Rajasthan Royals,N Burger,1,1,0,0,100.0,"run out (Ishan Kishan, E Malinga)",9
1,Rajasthan Royals,SS Mishra,1,3,0,0,33.33,not out,10
2,Sunrisers Hyderabad,Abhishek Sharma,0,2,0,0,0.0,c Dhruv Jurel b JC Archer,1
2,Sunrisers Hyderabad,TM Head,17,8,2,1,212.5,b JC Archer,2
2,Sunrisers Hyderabad,Ishan Kishan,33,11,3,3,300.0,c D Ferreira b JC Archer,3
2,Sunrisers Hyderabad,R Smaran,1,4,0,0,25.0,c JC Archer b N Burger,4
2,Sunrisers Hyderabad,H Klaasen,18,10,2,1,180.0,lbw b Yash Raj Punja,5
2,Sunrisers Hyderabad,Nithish Kumar Reddy,38,20,3,2,190.0,c MD Shanaka b RA Jadeja,6
2,Sunrisers Hyderabad,Salil Arora,35,21,2,2,166.67,c N Burger b RA Jadeja,7
2,Sunrisers Hyderabad,PJ Cummins,1,2,0,0,50.0,c JC Archer b SS Mishra,8
2,Sunrisers Hyderabad,Shivang Kumar,27,24,3,0,112.5,c V Suryavanshi b SS Mishra,9
2,Sunrisers Hyderabad,E Malinga,5,8,0,0,62.5,c JC Archer b N Burger,10
2,Sunrisers Hyderabad,Sakib Hussain,5,7,1,0,71.43,not out,11
