innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,E Malinga,4.0,0,40,1,10.0,9,1,0
1,Sunrisers Hyderabad,Nithish Kumar Reddy,2.0,0,12,1,6.0,7,0,0
1,Sunrisers Hyderabad,PJ Cummins,4.0,0,64,0,16.0,3,1,0
1,Sunrisers Hyderabad,PP Hinge,4.0,0,54,3,13.5,9,1,1
1,Sunrisers Hyderabad,Sakib Hussain,4.0,0,52,0,13.0,6,0,0
1,Sunrisers Hyderabad,Shivang Kumar,2.0,0,19,1,9.5,3,0,0
2,Rajasthan Royals,Brijesh Sharma,3.0,0,31,0,10.33,5,1,1
2,Rajasthan Royals,JC Archer,4.0,0,58,3,14.5,8,1,0
2,Rajasthan Royals,N Burger,3.0,0,26,2,8.67,10,2,0
2,Rajasthan Royals,RA Jadeja,3.0,0,21,2,7.0,5,2,0
2,Rajasthan Royals,SS Mishra,2.2,0,21,2,9.0,5,3,0
2,Rajasthan Royals,Yash Raj Punja,4.0,0,39,1,9.75,6,2,0
