innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,V Suryavanshi,125,8.6
1,Rajasthan Royals,2,YBK Jaiswal,137,11.2
1,Rajasthan Royals,3,Dhruv Jurel,192,14.5
1,Rajasthan Royals,4,R Parag,207,16.2
1,Rajasthan Royals,5,MD Shanaka,214,17.1
1,Rajasthan Royals,6,D Ferreira,234,19.1
1,Rajasthan Royals,7,JC Archer,238,19.6
1,Rajasthan Royals,8,N Burger,240,20.2
2,Sunrisers Hyderabad,1,Abhishek Sharma,0,1.2
2,Sunrisers Hyderabad,2,Ishan Kishan,51,3.5
2,Sunrisers Hyderabad,3,R Smaran,52,4.3
2,Sunrisers Hyderabad,4,TM Head,57,5.4
2,Sunrisers Hyderabad,5,H Klaasen,81,7.5
2,Sunrisers Hyderabad,6,Nithish Kumar Reddy,137,11.5
2,Sunrisers Hyderabad,7,PJ Cummins,139,12.1
2,Sunrisers Hyderabad,8,Salil Arora,163,15.4
2,Sunrisers Hyderabad,9,E Malinga,187,18.3
2,Sunrisers Hyderabad,10,Shivang Kumar,196,20.2
