innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,25,20,V Suryavanshi,97,29,3,125,48
1,Rajasthan Royals,2,YBK Jaiswal,4,9,Dhruv Jurel,8,5,0,12,14
1,Rajasthan Royals,3,R Parag,12,5,Dhruv Jurel,42,16,1,55,21
1,Rajasthan Royals,4,D Ferreira,1,2,R Parag,14,7,0,15,9
1,Rajasthan Royals,5,MD Shanaka,5,3,D Ferreira,2,2,0,7,5
1,Rajasthan Royals,6,RA Jadeja,11,7,D Ferreira,9,5,0,20,12
1,Rajasthan Royals,7,JC Archer,4,5,RA Jadeja,0,0,0,4,5
1,Rajasthan Royals,8,RA Jadeja,1,1,N Burger,1,1,0,2,2
1,Rajasthan Royals,9,SS Mishra,1,3,RA Jadeja,0,1,2,3,4
2,Sunrisers Hyderabad,1,Abhishek Sharma,0,2,TM Head,0,0,0,0,2
2,Sunrisers Hyderabad,2,Ishan Kishan,33,11,TM Head,13,4,5,51,15
2,Sunrisers Hyderabad,3,R Smaran,1,4,TM Head,0,0,0,1,4
2,Sunrisers Hyderabad,4,H Klaasen,0,3,TM Head,4,4,1,5,7
2,Sunrisers Hyderabad,5,Nithish Kumar Reddy,5,6,H Klaasen,18,7,1,24,13
2,Sunrisers Hyderabad,6,Salil Arora,22,10,Nithish Kumar Reddy,33,14,1,56,24
2,Sunrisers Hyderabad,7,PJ Cummins,1,2,Salil Arora,0,0,1,2,2
2,Sunrisers Hyderabad,8,Shivang Kumar,7,10,Salil Arora,13,11,4,24,21
2,Sunrisers Hyderabad,9,E Malinga,5,8,Shivang Kumar,18,9,1,24,17
2,Sunrisers Hyderabad,10,Sakib Hussain,5,7,Shivang Kumar,2,5,2,9,11
