innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,1,1,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,2,V Suryavanshi,Mohammed Siraj,YBK Jaiswal,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,3,V Suryavanshi,Mohammed Siraj,YBK Jaiswal,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,4,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,True,caught,YBK Jaiswal,M Prasidh Krishna,powerplay
1,Rajasthan Royals,1,5,Dhruv Jurel,Mohammed Siraj,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,6,V Suryavanshi,Mohammed Siraj,Dhruv Jurel,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,1,Dhruv Jurel,K Rabada,V Suryavanshi,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,2,Dhruv Jurel,K Rabada,V Suryavanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,3,Dhruv Jurel,K Rabada,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,4,Dhruv Jurel,K Rabada,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,5,Dhruv Jurel,K Rabada,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,True,caught,Dhruv Jurel,Shubman Gill,powerplay
1,Rajasthan Royals,2,6,RA Jadeja,K Rabada,V Suryavanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,1,V Suryavanshi,Mohammed Siraj,RA Jadeja,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,2,V Suryavanshi,Mohammed Siraj,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,3,V Suryavanshi,Mohammed Siraj,RA Jadeja,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,4,V Suryavanshi,Mohammed Siraj,RA Jadeja,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,5.wides,V Suryavanshi,Mohammed Siraj,RA Jadeja,0,5,5,False,False,wides,5,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,5,V Suryavanshi,Mohammed Siraj,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,6,V Suryavanshi,Mohammed Siraj,RA Jadeja,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
