innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Rajasthan Royals,YBK Jaiswal,1,2,0,0,50.0,c M Prasidh Krishna b Mohammed Siraj,1
1,Rajasthan Royals,V Suryavanshi,96,47,8,7,204.26,c M Prasidh Krishna b K Rabada,2
1,Rajasthan Royals,Dhruv Jurel,7,6,1,0,116.67,c Shubman Gill b K Rabada,3
1,Rajasthan Royals,RA Jadeja,45,35,5,1,128.57,not out,4
1,Rajasthan Royals,R Parag,11,6,1,1,183.33,c K Rabada b JO Holder,5
1,Rajasthan Royals,MD Shanaka,3,9,0,0,33.33,c JC Buttler b JO Holder,6
1,Rajasthan Royals,JC Archer,7,4,0,1,175.0,c JC Buttler b M Prasidh Krishna,7
1,Rajasthan Royals,D Ferreira,38,11,2,4,345.45,not out,8
2,Gujarat Titans,B Sai Sudharsan,58,32,8,1,181.25,hit wicket b Brijesh Sharma,1
2,Gujarat Titans,Shubman Gill,104,53,15,3,196.23,lbw b JC Archer,2
2,Gujarat Titans,JC Buttler,9,9,0,0,100.0,not out,3
2,Gujarat Titans,Washington Sundar,16,9,2,1,177.78,c D Ferreira b N Burger,4
2,Gujarat Titans,R Tewatia,17,9,2,1,188.89,not out,5
