innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Gujarat Titans,JO Holder,4.0,0,27,2,6.75,14,1,0
1,Gujarat Titans,K Rabada,4.0,0,35,2,8.75,10,0,0
1,Gujarat Titans,M Prasidh Krishna,4.0,0,42,1,10.5,8,0,0
1,Gujarat Titans,Mohammed Siraj,4.0,0,42,1,10.5,10,1,0
1,Gujarat Titans,Rashid Khan,2.0,0,45,0,22.5,1,0,0
1,Gujarat Titans,Washington Sundar,2.0,0,23,0,11.5,0,0,0
2,Rajasthan Royals,Brijesh Sharma,3.4,0,44,1,12.0,6,3,0
2,Rajasthan Royals,JC Archer,4.0,0,45,1,11.25,6,1,0
2,Rajasthan Royals,N Burger,4.0,0,35,1,8.75,6,3,0
2,Rajasthan Royals,RA Jadeja,2.0,0,28,0,14.0,0,0,0
2,Rajasthan Royals,TU Deshpande,3.0,0,34,0,11.33,4,0,0
2,Rajasthan Royals,Yash Raj Punja,2.0,0,29,0,14.5,2,0,0
