innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,1,2,V Suryavanshi,1,2,0,2,4
1,Rajasthan Royals,2,Dhruv Jurel,7,6,V Suryavanshi,0,1,0,7,7
1,Rajasthan Royals,3,R Parag,11,6,V Suryavanshi,8,3,0,19,9
1,Rajasthan Royals,4,MD Shanaka,3,9,V Suryavanshi,5,3,0,8,12
1,Rajasthan Royals,5,JC Archer,7,4,V Suryavanshi,2,3,0,9,7
1,Rajasthan Royals,6,RA Jadeja,7,11,V Suryavanshi,47,17,0,54,28
1,Rajasthan Royals,7,D Ferreira,38,11,RA Jadeja,4,5,0,42,16
2,Gujarat Titans,1,B Sai Sudharsan,58,32,Shubman Gill,95,45,14,167,77
2,Gujarat Titans,2,JC Buttler,6,5,Shubman Gill,9,8,0,15,13
2,Gujarat Titans,3,JC Buttler,3,4,Washington Sundar,16,9,0,19,13
2,Gujarat Titans,4,R Tewatia,17,9,JC Buttler,0,0,1,18,9
