innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Gujarat Titans,1,1,B Sai Sudharsan,JA Duffy,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,2,B Sai Sudharsan,JA Duffy,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3,B Sai Sudharsan,JA Duffy,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,4,B Sai Sudharsan,JA Duffy,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,5.wides,B Sai Sudharsan,JA Duffy,Shubman Gill,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,5.wides,B Sai Sudharsan,JA Duffy,Shubman Gill,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,5,B Sai Sudharsan,JA Duffy,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,6.wides,Shubman Gill,JA Duffy,B Sai Sudharsan,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,6,Shubman Gill,JA Duffy,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,1,Shubman Gill,B Kumar,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,2,Shubman Gill,B Kumar,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,3,Shubman Gill,B Kumar,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,4,Shubman Gill,B Kumar,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,5,Shubman Gill,B Kumar,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,6,B Sai Sudharsan,B Kumar,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,1,Shubman Gill,JR Hazlewood,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,2,Shubman Gill,JR Hazlewood,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,True,caught,Shubman Gill,RM Patidar,powerplay
1,Gujarat Titans,3,3,N Sindhu,JR Hazlewood,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,4,B Sai Sudharsan,JR Hazlewood,N Sindhu,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,5,B Sai Sudharsan,JR Hazlewood,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,6,N Sindhu,JR Hazlewood,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,1,B Sai Sudharsan,B Kumar,N Sindhu,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,2,B Sai Sudharsan,B Kumar,N Sindhu,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,3,B Sai Sudharsan,B Kumar,N Sindhu,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,4,B Sai Sudharsan,B Kumar,N Sindhu,0,0,0,False,False,,0,0,0,0,0,True,caught,B Sai Sudharsan,JM Sharma,powerplay
1,Gujarat Titans,4,5,JC Buttler,B Kumar,N Sindhu,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,6,JC Buttler,B Kumar,N Sindhu,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,1,N Sindhu,JR Hazlewood,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,2,N Sindhu,JR Hazlewood,JC Buttler,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,3,N Sindhu,JR Hazlewood,JC Buttler,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,4,N Sindhu,JR Hazlewood,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,5,JC Buttler,JR Hazlewood,N Sindhu,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,6,JC Buttler,JR Hazlewood,N Sindhu,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,1,N Sindhu,Rasikh Salam,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,2,N Sindhu,Rasikh Salam,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,3,N Sindhu,Rasikh Salam,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,4,JC Buttler,Rasikh Salam,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,5,N Sindhu,Rasikh Salam,JC Buttler,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,6,N Sindhu,Rasikh Salam,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,7,1,JC Buttler,KH Pandya,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,2,N Sindhu,KH Pandya,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,3,JC Buttler,KH Pandya,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,4,N Sindhu,KH Pandya,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,5,JC Buttler,KH Pandya,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,6,N Sindhu,KH Pandya,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,1,JC Buttler,Rasikh Salam,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,2,N Sindhu,Rasikh Salam,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,3,JC Buttler,Rasikh Salam,N Sindhu,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,4,N Sindhu,Rasikh Salam,JC Buttler,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,5,N Sindhu,Rasikh Salam,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,6,N Sindhu,Rasikh Salam,JC Buttler,0,0,0,False,False,,0,0,0,0,0,True,caught,N Sindhu,D Padikkal,middle
1,Gujarat Titans,9,1,JC Buttler,KH Pandya,Washington Sundar,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,2,JC Buttler,KH Pandya,Washington Sundar,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,3,Washington Sundar,KH Pandya,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,4,JC Buttler,KH Pandya,Washington Sundar,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,5,Washington Sundar,KH Pandya,JC Buttler,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,6,Washington Sundar,KH Pandya,JC Buttler,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
