innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Gujarat Titans,B Sai Sudharsan,12,12,2,0,100.0,c JM Sharma b B Kumar,1
1,Gujarat Titans,Shubman Gill,10,8,2,0,125.0,c RM Patidar b JR Hazlewood,2
1,Gujarat Titans,N Sindhu,20,18,3,0,111.11,c D Padikkal b Rasikh Salam,3
1,Gujarat Titans,JC Buttler,19,23,1,0,82.61,st JM Sharma b KH Pandya,4
1,Gujarat Titans,Washington Sundar,50,37,5,0,135.14,not out,5
1,Gujarat Titans,Arshad Khan,15,6,0,2,250.0,c Rasikh Salam b JR Hazlewood,6
1,Gujarat Titans,R Tewatia,7,5,1,0,140.0,c RM Patidar b Rasikh Salam,7
1,Gujarat Titans,JO Holder,7,5,1,0,140.0,c JR Hazlewood b B Kumar,8
1,Gujarat Titans,Rashid Khan,7,3,0,1,233.33,c R Shepherd b Rasikh Salam,9
1,Gujarat Titans,K Rabada,3,3,0,0,100.0,not out,10
2,Royal Challengers Bengaluru,VR Iyer,32,16,4,2,200.0,c K Rabada b Mohammed Siraj,1
2,Royal Challengers Bengaluru,V Kohli,75,42,9,3,178.57,not out,2
2,Royal Challengers Bengaluru,D Padikkal,1,4,0,0,25.0,c Arshad Khan b K Rabada,3
2,Royal Challengers Bengaluru,RM Patidar,15,13,1,1,115.38,c K Rabada b Rashid Khan,4
2,Royal Challengers Bengaluru,KH Pandya,1,2,0,0,50.0,lbw b Rashid Khan,5
2,Royal Challengers Bengaluru,TH David,24,17,3,1,141.18,c JC Buttler b Arshad Khan,6
2,Royal Challengers Bengaluru,JM Sharma,11,14,1,0,78.57,not out,7
