innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bengaluru,B Kumar,4.0,0,29,2,7.25,11,0,0
1,Royal Challengers Bengaluru,JA Duffy,4.0,0,38,0,9.5,5,3,0
1,Royal Challengers Bengaluru,JR Hazlewood,4.0,0,37,2,9.25,7,1,0
1,Royal Challengers Bengaluru,KH Pandya,4.0,0,23,1,5.75,7,0,0
1,Royal Challengers Bengaluru,Rasikh Salam,4.0,0,27,3,6.75,8,0,0
2,Gujarat Titans,Arshad Khan,4.0,0,32,1,8.0,9,0,0
2,Gujarat Titans,JO Holder,2.0,0,16,0,8.0,5,0,0
2,Gujarat Titans,K Rabada,3.0,0,44,1,14.67,7,0,0
2,Gujarat Titans,M Prasidh Krishna,1.0,0,7,0,7.0,3,0,0
2,Gujarat Titans,Mohammed Siraj,4.0,0,36,1,9.0,9,1,0
2,Gujarat Titans,Rashid Khan,4.0,0,25,2,6.25,9,0,0
