innings,team,wicket_number,player_out,score,over
1,Gujarat Titans,1,Shubman Gill,22,3.2
1,Gujarat Titans,2,B Sai Sudharsan,26,4.4
1,Gujarat Titans,3,N Sindhu,55,8.6
1,Gujarat Titans,4,JC Buttler,73,13.1
1,Gujarat Titans,5,Arshad Khan,99,15.1
1,Gujarat Titans,6,R Tewatia,115,17.1
1,Gujarat Titans,7,JO Holder,142,19.3
1,Gujarat Titans,8,Rashid Khan,151,20.2
2,Royal Challengers Bengaluru,1,VR Iyer,62,5.3
2,Royal Challengers Bengaluru,2,D Padikkal,63,6.1
2,Royal Challengers Bengaluru,3,RM Patidar,89,9.2
2,Royal Challengers Bengaluru,4,KH Pandya,91,9.5
2,Royal Challengers Bengaluru,5,TH David,132,14.6
