innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Gujarat Titans,1,B Sai Sudharsan,9,6,Shubman Gill,10,8,3,22,14
1,Gujarat Titans,2,N Sindhu,1,2,B Sai Sudharsan,3,6,0,4,8
1,Gujarat Titans,3,JC Buttler,10,10,N Sindhu,19,16,0,29,26
1,Gujarat Titans,4,JC Buttler,9,13,Washington Sundar,8,12,1,18,25
1,Gujarat Titans,5,Arshad Khan,15,6,Washington Sundar,11,6,0,26,12
1,Gujarat Titans,6,R Tewatia,7,5,Washington Sundar,9,7,0,16,12
1,Gujarat Titans,7,JO Holder,7,5,Washington Sundar,19,9,1,27,14
1,Gujarat Titans,8,Rashid Khan,7,3,Washington Sundar,2,2,0,9,5
1,Gujarat Titans,9,K Rabada,3,3,Washington Sundar,1,1,0,4,4
2,Royal Challengers Bengaluru,1,VR Iyer,32,16,V Kohli,29,11,1,62,27
2,Royal Challengers Bengaluru,2,D Padikkal,1,4,V Kohli,0,0,0,1,4
2,Royal Challengers Bengaluru,3,RM Patidar,15,13,V Kohli,10,6,1,26,19
2,Royal Challengers Bengaluru,4,KH Pandya,1,2,V Kohli,1,1,0,2,3
2,Royal Challengers Bengaluru,5,TH David,24,17,V Kohli,17,14,0,41,31
2,Royal Challengers Bengaluru,6,V Kohli,18,10,JM Sharma,11,14,0,29,24
